Label,取樣數,平均值,中間值,90% Line,95% Line,99% Line,最小值,最大值,錯誤率,處理量,每秒仟位元組,Sent KB/sec
1. WebSocket Open Connection,6000,4,3,6,11,31,0,70,0.000%,499.83339,71.75,75.66
2. STOMP Connect,6000,0,0,0,1,1,0,1,0.000%,501.12754,0.00,26.43
3. Read CONNECTED,6000,40,0,226,311,388,0,422,0.000%,500.83472,20.05,0.00
4. STOMP Subscribe (room topic),6000,0,0,0,1,1,0,3,0.000%,500.25013,0.00,29.80
5. STOMP Join Game (/app/join),6000,0,0,0,1,1,0,3,0.000%,499.79175,0.00,68.73
6. Read 1st Question (等待對手加入),6000,38,0,230,318,391,0,435,0.000%,499.75012,241.73,0.00
6.2 Send Answer (/app/answer),60000,0,0,0,1,1,0,32,0.000%,1526.83411,0.00,237.08
6.3 Read Score (分數),60000,0,0,0,0,1,0,30,0.000%,1526.60102,559.88,0.00
6.4 Read Next Question (或 GameOver),60000,0,0,0,0,1,0,36,0.000%,1526.36801,549.53,0.00
7. STOMP Unsubscribe,6000,0,0,0,1,1,0,23,0.000%,492.97510,0.00,13.96
8. STOMP Disconnect,6000,0,0,0,1,1,0,1,0.000%,493.01561,0.00,14.44
9. Initialize Drain Flag,6000,1,1,4,5,15,0,62,0.000%,492.89411,0.00,0.00
Read Frame (Drain),42067,1,0,0,0,1,0,1015,0.000%,2376.80095,699.80,0.00
WebSocket Close,6000,1,1,2,3,6,0,38,0.000%,346.46033,9.14,10.49
總計,282067,2,0,0,1,7,0,1015,0.000%,5327.74871,1136.21,231.40
